DEM2,EXP1,EXP1A,EXP2,EXP3,Question,Scores
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCC,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCC,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCD,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCD,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCD,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCD,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCD,2
35-44 years old,Yes,Mobile phone,Yes,Yes,OIRA,4
35-44 years old,Yes,Mobile phone,Yes,Yes,OIRAB,2
35-44 years old,Yes,Mobile phone,Yes,Yes,OIRA,4
35-44 years old,Yes,Mobile phone,Yes,Yes,OIRAB,3
35-44 years old,Yes,Mobile phone,Yes,Yes,OIRA,4
35-44 years old,Yes,Mobile phone,Yes,Yes,OIRAB,3
35-44 years old,Yes,Mobile phone,Yes,Yes,OIRA,4
35-44 years old,Yes,Mobile phone,Yes,Yes,OIRAB,3
35-44 years old,Yes,Mobile phone,Yes,Yes,OIRA,2
35-44 years old,Yes,Mobile phone,Yes,Yes,OIRAB,3
35-44 years old,Yes,Mobile phone,Yes,Yes,OIRB,5
35-44 years old,Yes,Mobile phone,Yes,Yes,OIRBB,2
35-44 years old,Yes,Mobile phone,Yes,Yes,OIRB,4
35-44 years old,Yes,Mobile phone,Yes,Yes,OIRBB,2
35-44 years old,Yes,Mobile phone,Yes,Yes,OIRB,4
35-44 years old,Yes,Mobile phone,Yes,Yes,OIRBB,2
35-44 years old,Yes,Mobile phone,Yes,Yes,OIRB,5
35-44 years old,Yes,Mobile phone,Yes,Yes,OIRBB,2
35-44 years old,Yes,Mobile phone,Yes,Yes,OIRB,2
35-44 years old,Yes,Mobile phone,Yes,Yes,OIRBB,3
35-44 years old,Yes,Mobile phone,Yes,Yes,RFCA,2
35-44 years old,Yes,Mobile phone,Yes,Yes,RFCA,4
35-44 years old,Yes,Mobile phone,Yes,Yes,RFCA,5
35-44 years old,Yes,Mobile phone,Yes,Yes,RFCA,5
35-44 years old,Yes,Mobile phone,Yes,Yes,RFCA,5
35-44 years old,Yes,Mobile phone,Yes,Yes,RFCB,2
35-44 years old,Yes,Mobile phone,Yes,Yes,RFCB,3
35-44 years old,Yes,Mobile phone,Yes,Yes,RFCB,4
35-44 years old,Yes,Mobile phone,Yes,Yes,RFCB,4
35-44 years old,Yes,Mobile phone,Yes,Yes,RFCB,2
35-44 years old,Yes,Mobile phone,Yes,Yes,RFCC,2
35-44 years old,Yes,Mobile phone,Yes,Yes,RFCC,3
35-44 years old,Yes,Mobile phone,Yes,Yes,RFCC,5
35-44 years old,Yes,Mobile phone,Yes,Yes,RFCC,4
35-44 years old,Yes,Mobile phone,Yes,Yes,RFCC,4
35-44 years old,Yes,Mobile phone,Yes,Yes,RFCD,2
35-44 years old,Yes,Mobile phone,Yes,Yes,RFCD,3
35-44 years old,Yes,Mobile phone,Yes,Yes,RFCD,4
35-44 years old,Yes,Mobile phone,Yes,Yes,RFCD,4
35-44 years old,Yes,Mobile phone,Yes,Yes,RFCD,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,1
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,1
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,1
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,5
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,1
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,3
55-64 years old,Yes,Mobile phone,No,No,OIRA,4
55-64 years old,Yes,Mobile phone,No,No,OIRAB,4
55-64 years old,Yes,Mobile phone,No,No,OIRA,4
55-64 years old,Yes,Mobile phone,No,No,OIRAB,2
55-64 years old,Yes,Mobile phone,No,No,OIRA,4
55-64 years old,Yes,Mobile phone,No,No,OIRAB,3
55-64 years old,Yes,Mobile phone,No,No,OIRA,5
55-64 years old,Yes,Mobile phone,No,No,OIRAB,2
55-64 years old,Yes,Mobile phone,No,No,OIRA,2
55-64 years old,Yes,Mobile phone,No,No,OIRAB,3
55-64 years old,Yes,Mobile phone,No,No,OIRB,4
55-64 years old,Yes,Mobile phone,No,No,OIRBB,3
55-64 years old,Yes,Mobile phone,No,No,OIRB,5
55-64 years old,Yes,Mobile phone,No,No,OIRBB,2
55-64 years old,Yes,Mobile phone,No,No,OIRB,5
55-64 years old,Yes,Mobile phone,No,No,OIRBB,2
55-64 years old,Yes,Mobile phone,No,No,OIRB,5
55-64 years old,Yes,Mobile phone,No,No,OIRBB,3
55-64 years old,Yes,Mobile phone,No,No,OIRB,2
55-64 years old,Yes,Mobile phone,No,No,OIRBB,1
55-64 years old,Yes,Mobile phone,No,No,RFCA,4
55-64 years old,Yes,Mobile phone,No,No,RFCA,4
55-64 years old,Yes,Mobile phone,No,No,RFCA,5
55-64 years old,Yes,Mobile phone,No,No,RFCA,5
55-64 years old,Yes,Mobile phone,No,No,RFCA,5
55-64 years old,Yes,Mobile phone,No,No,RFCB,2
55-64 years old,Yes,Mobile phone,No,No,RFCB,2
55-64 years old,Yes,Mobile phone,No,No,RFCB,4
55-64 years old,Yes,Mobile phone,No,No,RFCB,1
55-64 years old,Yes,Mobile phone,No,No,RFCB,1
55-64 years old,Yes,Mobile phone,No,No,RFCC,2
55-64 years old,Yes,Mobile phone,No,No,RFCC,5
55-64 years old,Yes,Mobile phone,No,No,RFCC,5
55-64 years old,Yes,Mobile phone,No,No,RFCC,4
55-64 years old,Yes,Mobile phone,No,No,RFCC,5
55-64 years old,Yes,Mobile phone,No,No,RFCD,1
55-64 years old,Yes,Mobile phone,No,No,RFCD,5
55-64 years old,Yes,Mobile phone,No,No,RFCD,5
55-64 years old,Yes,Mobile phone,No,No,RFCD,5
55-64 years old,Yes,Mobile phone,No,No,RFCD,5
55-64 years old,No,N/A,No,No,OIRA,5
55-64 years old,No,N/A,No,No,OIRAB,1
55-64 years old,No,N/A,No,No,OIRA,5
55-64 years old,No,N/A,No,No,OIRAB,2
55-64 years old,No,N/A,No,No,OIRA,4
55-64 years old,No,N/A,No,No,OIRAB,1
55-64 years old,No,N/A,No,No,OIRA,4
55-64 years old,No,N/A,No,No,OIRAB,3
55-64 years old,No,N/A,No,No,OIRA,2
55-64 years old,No,N/A,No,No,OIRAB,3
55-64 years old,No,N/A,No,No,OIRB,5
55-64 years old,No,N/A,No,No,OIRBB,2
55-64 years old,No,N/A,No,No,OIRB,5
55-64 years old,No,N/A,No,No,OIRBB,2
55-64 years old,No,N/A,No,No,OIRB,4
55-64 years old,No,N/A,No,No,OIRBB,3
55-64 years old,No,N/A,No,No,OIRB,4
55-64 years old,No,N/A,No,No,OIRBB,3
55-64 years old,No,N/A,No,No,OIRB,3
55-64 years old,No,N/A,No,No,OIRBB,2
55-64 years old,No,N/A,No,No,RFCA,4
55-64 years old,No,N/A,No,No,RFCA,3
55-64 years old,No,N/A,No,No,RFCA,5
55-64 years old,No,N/A,No,No,RFCA,5
55-64 years old,No,N/A,No,No,RFCA,5
55-64 years old,No,N/A,No,No,RFCB,2
55-64 years old,No,N/A,No,No,RFCB,4
55-64 years old,No,N/A,No,No,RFCB,4
55-64 years old,No,N/A,No,No,RFCB,2
55-64 years old,No,N/A,No,No,RFCB,2
55-64 years old,No,N/A,No,No,RFCC,2
55-64 years old,No,N/A,No,No,RFCC,3
55-64 years old,No,N/A,No,No,RFCC,4
55-64 years old,No,N/A,No,No,RFCC,4
55-64 years old,No,N/A,No,No,RFCC,2
55-64 years old,No,N/A,No,No,RFCD,2
55-64 years old,No,N/A,No,No,RFCD,3
55-64 years old,No,N/A,No,No,RFCD,4
55-64 years old,No,N/A,No,No,RFCD,2
55-64 years old,No,N/A,No,No,RFCD,2
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,4
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,3
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,5
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,1
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,5
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,2
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,5
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,1
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,4
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,3
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,4
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,2
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,5
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,2
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,5
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,3
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,5
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,2
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,5
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,2
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,4
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,3
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,5
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,5
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,5
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,3
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,4
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,3
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,3
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,3
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,2
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,3
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,2
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,3
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,2
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,3
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,3
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,4
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,2
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,1
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,1
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,3
35-44 years old,Yes,Mobile phone,No,No,OIRA,5
35-44 years old,Yes,Mobile phone,No,No,OIRAB,2
35-44 years old,Yes,Mobile phone,No,No,OIRA,2
35-44 years old,Yes,Mobile phone,No,No,OIRAB,3
35-44 years old,Yes,Mobile phone,No,No,OIRA,2
35-44 years old,Yes,Mobile phone,No,No,OIRAB,3
35-44 years old,Yes,Mobile phone,No,No,OIRA,2
35-44 years old,Yes,Mobile phone,No,No,OIRAB,3
35-44 years old,Yes,Mobile phone,No,No,OIRA,2
35-44 years old,Yes,Mobile phone,No,No,OIRAB,3
35-44 years old,Yes,Mobile phone,No,No,OIRB,5
35-44 years old,Yes,Mobile phone,No,No,OIRBB,2
35-44 years old,Yes,Mobile phone,No,No,OIRB,2
35-44 years old,Yes,Mobile phone,No,No,OIRBB,2
35-44 years old,Yes,Mobile phone,No,No,OIRB,2
35-44 years old,Yes,Mobile phone,No,No,OIRBB,1
35-44 years old,Yes,Mobile phone,No,No,OIRB,2
35-44 years old,Yes,Mobile phone,No,No,OIRBB,3
35-44 years old,Yes,Mobile phone,No,No,OIRB,2
35-44 years old,Yes,Mobile phone,No,No,OIRBB,3
35-44 years old,Yes,Mobile phone,No,No,RFCA,2
35-44 years old,Yes,Mobile phone,No,No,RFCA,5
35-44 years old,Yes,Mobile phone,No,No,RFCA,5
35-44 years old,Yes,Mobile phone,No,No,RFCA,5
35-44 years old,Yes,Mobile phone,No,No,RFCA,5
35-44 years old,Yes,Mobile phone,No,No,RFCB,1
35-44 years old,Yes,Mobile phone,No,No,RFCB,2
35-44 years old,Yes,Mobile phone,No,No,RFCB,2
35-44 years old,Yes,Mobile phone,No,No,RFCB,2
35-44 years old,Yes,Mobile phone,No,No,RFCB,2
35-44 years old,Yes,Mobile phone,No,No,RFCC,2
35-44 years old,Yes,Mobile phone,No,No,RFCC,4
35-44 years old,Yes,Mobile phone,No,No,RFCC,4
35-44 years old,Yes,Mobile phone,No,No,RFCC,4
35-44 years old,Yes,Mobile phone,No,No,RFCC,4
35-44 years old,Yes,Mobile phone,No,No,RFCD,2
35-44 years old,Yes,Mobile phone,No,No,RFCD,4
35-44 years old,Yes,Mobile phone,No,No,RFCD,4
35-44 years old,Yes,Mobile phone,No,No,RFCD,3
35-44 years old,Yes,Mobile phone,No,No,RFCD,3
25-34 years old,Yes,Mobile phone,No,Yes,OIRA,4
25-34 years old,Yes,Mobile phone,No,Yes,OIRAB,3
25-34 years old,Yes,Mobile phone,No,Yes,OIRA,2
25-34 years old,Yes,Mobile phone,No,Yes,OIRAB,3
25-34 years old,Yes,Mobile phone,No,Yes,OIRA,5
25-34 years old,Yes,Mobile phone,No,Yes,OIRAB,2
25-34 years old,Yes,Mobile phone,No,Yes,OIRA,5
25-34 years old,Yes,Mobile phone,No,Yes,OIRAB,2
25-34 years old,Yes,Mobile phone,No,Yes,OIRA,4
25-34 years old,Yes,Mobile phone,No,Yes,OIRAB,3
25-34 years old,Yes,Mobile phone,No,Yes,OIRB,4
25-34 years old,Yes,Mobile phone,No,Yes,OIRBB,2
25-34 years old,Yes,Mobile phone,No,Yes,OIRB,2
25-34 years old,Yes,Mobile phone,No,Yes,OIRBB,3
25-34 years old,Yes,Mobile phone,No,Yes,OIRB,5
25-34 years old,Yes,Mobile phone,No,Yes,OIRBB,2
25-34 years old,Yes,Mobile phone,No,Yes,OIRB,5
25-34 years old,Yes,Mobile phone,No,Yes,OIRBB,2
25-34 years old,Yes,Mobile phone,No,Yes,OIRB,5
25-34 years old,Yes,Mobile phone,No,Yes,OIRBB,3
25-34 years old,Yes,Mobile phone,No,Yes,RFCA,5
25-34 years old,Yes,Mobile phone,No,Yes,RFCA,5
25-34 years old,Yes,Mobile phone,No,Yes,RFCA,5
25-34 years old,Yes,Mobile phone,No,Yes,RFCA,5
25-34 years old,Yes,Mobile phone,No,Yes,RFCA,5
25-34 years old,Yes,Mobile phone,No,Yes,RFCB,1
25-34 years old,Yes,Mobile phone,No,Yes,RFCB,5
25-34 years old,Yes,Mobile phone,No,Yes,RFCB,1
25-34 years old,Yes,Mobile phone,No,Yes,RFCB,2
25-34 years old,Yes,Mobile phone,No,Yes,RFCB,2
25-34 years old,Yes,Mobile phone,No,Yes,RFCC,1
25-34 years old,Yes,Mobile phone,No,Yes,RFCC,2
25-34 years old,Yes,Mobile phone,No,Yes,RFCC,4
25-34 years old,Yes,Mobile phone,No,Yes,RFCC,4
25-34 years old,Yes,Mobile phone,No,Yes,RFCC,2
25-34 years old,Yes,Mobile phone,No,Yes,RFCD,1
25-34 years old,Yes,Mobile phone,No,Yes,RFCD,4
25-34 years old,Yes,Mobile phone,No,Yes,RFCD,4
25-34 years old,Yes,Mobile phone,No,Yes,RFCD,5
25-34 years old,Yes,Mobile phone,No,Yes,RFCD,1
35-44 years old,Yes,Mobile phone,No,No,OIRA,4
35-44 years old,Yes,Mobile phone,No,No,OIRAB,3
35-44 years old,Yes,Mobile phone,No,No,OIRA,3
35-44 years old,Yes,Mobile phone,No,No,OIRAB,1
35-44 years old,Yes,Mobile phone,No,No,OIRA,2
35-44 years old,Yes,Mobile phone,No,No,OIRAB,3
35-44 years old,Yes,Mobile phone,No,No,OIRA,4
35-44 years old,Yes,Mobile phone,No,No,OIRAB,3
35-44 years old,Yes,Mobile phone,No,No,OIRA,2
35-44 years old,Yes,Mobile phone,No,No,OIRAB,1
35-44 years old,Yes,Mobile phone,No,No,OIRB,2
35-44 years old,Yes,Mobile phone,No,No,OIRBB,2
35-44 years old,Yes,Mobile phone,No,No,OIRB,2
35-44 years old,Yes,Mobile phone,No,No,OIRBB,3
35-44 years old,Yes,Mobile phone,No,No,OIRB,2
35-44 years old,Yes,Mobile phone,No,No,OIRBB,1
35-44 years old,Yes,Mobile phone,No,No,OIRB,4
35-44 years old,Yes,Mobile phone,No,No,OIRBB,2
35-44 years old,Yes,Mobile phone,No,No,OIRB,3
35-44 years old,Yes,Mobile phone,No,No,OIRBB,3
35-44 years old,Yes,Mobile phone,No,No,RFCA,5
35-44 years old,Yes,Mobile phone,No,No,RFCA,2
35-44 years old,Yes,Mobile phone,No,No,RFCA,4
35-44 years old,Yes,Mobile phone,No,No,RFCA,4
35-44 years old,Yes,Mobile phone,No,No,RFCA,5
35-44 years old,Yes,Mobile phone,No,No,RFCB,2
35-44 years old,Yes,Mobile phone,No,No,RFCB,2
35-44 years old,Yes,Mobile phone,No,No,RFCB,2
35-44 years old,Yes,Mobile phone,No,No,RFCB,2
35-44 years old,Yes,Mobile phone,No,No,RFCB,2
35-44 years old,Yes,Mobile phone,No,No,RFCC,4
35-44 years old,Yes,Mobile phone,No,No,RFCC,4
35-44 years old,Yes,Mobile phone,No,No,RFCC,3
35-44 years old,Yes,Mobile phone,No,No,RFCC,4
35-44 years old,Yes,Mobile phone,No,No,RFCC,3
35-44 years old,Yes,Mobile phone,No,No,RFCD,4
35-44 years old,Yes,Mobile phone,No,No,RFCD,5
35-44 years old,Yes,Mobile phone,No,No,RFCD,4
35-44 years old,Yes,Mobile phone,No,No,RFCD,2
35-44 years old,Yes,Mobile phone,No,No,RFCD,5
35-44 years old,Yes,Mobile phone,No,Yes,OIRA,4
